text,date
"Ready for the festivities that are yet to come, she writes to her loved ones while dressed in the rich tones of winter. Wrapped in ready-to-wear fits of raw silk and jacquard with damask-inspired prints and embroideries.

#ReadyToWear #FestiveWear #Khaadi #WearYourself",29/10/2023
"Lights, camera, action. Let’s get your style sorted ft. Sabeena Farooq. Let Sabeena be your chaperone for all your AM-to-PM looks this winter. 

Available in-store and online on 27th October.

#ADayInTheLifeOfSabeenaFarooq #SabeenaFarooq #ReadyToWear #Khaadi #WearYourself",24/10/2023
"Radiant in red.

Play with print this season and create your vibe featuring warm fabrics in jewel tones.

Khaadi Fabrics Collection.

Available in-stores and online https://tinyurl.com/The-print-story.

#WinterCollection #KhaadiFabrics #Khaadi #WearYourself",18/10/2023
"Paint your own story where the sea meets the golden sky, where the jewel tones invite you to express yourself in a way that’s unapologetically and magically yours.

Available in-stores and online https://tinyurl.com/The-print-story.

#WinterCollection #KhaadiFabrics #Khaadi #WearYourself",14/10/2023
"The Formal Edit – celebrate in the colours of fall.

Explore exquisite fabrics in dull raw silk, jacquard and cotton satin featuring warm tones, intricate embroideries, and unique patterns.

Khaadi Fabrics Collection.

#FabricsCollection #Fall23 #Khaadi #WearYourself",20/09/2023
"Artist and aspiring filmmaker SamioRenalda rocks the retro vibe while capturing a glimpse of Manchester's cityscape. She’s giving us serious style envy with her choice of looks.

#Khaadi #CityScape #ManchesterDiaries #StyleWithSamio #Coords #Dress #FashionJourney",16/09/2023
"Portrait photographer and lifestyle content creator rosieannbutcher exudes effortless style and comfort as she starts her day walking through the streets of Manchester.  

#Khaadi #CityScape #ManchesterDiaries #StyleWithRosie #Coords #FashionJourney",16/09/2023
"What a perfect me-time looks like.

Feel the changing air, the mellow skies and the browning of the leaves as the season transforms. In between the fading summer sun and the chilly days.

Khaadi Ready-to-Wear Collection.

#KhaadiReadyToWear #Khaadi #WearYourself",13/09/2023
"Spontaneous and lively with a burst of freshness.

Keep yourself eclectic from AM to PM with our refreshingly playful, over-the-top geometric prints and flattering fits in brighter-than-ever tones.

Ready-to-Wear Collection.

#AMtoPM #KhaadiReadyToWear #Khaadi #WearYourself",04/09/2023
"In the midst of the bustle, she is lost in her own world where time is an abstract idea and spontaneity thrives, she sets free her true self – spirited, easy breezy and vibrant. 

Khaadi Ready-to-Wear.

#KhaadiReadyToWear #Khaadi #WearYourself",28/08/2023
"The banter, the laugh, the love.

It’s always fun dressing up with your sister but when it’s Sabah & Sarah, it gets even better. Take inspo from the duo on styling fabrics with your own little twist.

Khaadi Fabrics Collection.

#SabahSarah #KhaadiFabrics #Khaadi #WearYourself",23/08/2023
"Jugnu – Daring, energetic and spontaneous.
Defying the dark with their radiant glow, our daring Jugnus fly out as the star-studded sky falls for a whimsical journey. 

KhaadiReady-to-Wear Collection.

#ReadyToWear #Khaadi #WearYourself",18/08/2023
"Proud to be a Pakistani, today, tomorrow and forever.

Happy Independence Day.

#IndependenceDay #Khaadi #WearYourself",14/08/2023
"A shopaholic’s true love: sale.

We have all the trendy styles for you at incredible deals. Check them out.

Available in-stores and online.

#SummerSale #Khaadi #WearYourself",09/08/2023
